Time (s),System Output,ControllerOutput
0,9.88087,0
0.01,12.7487,0.098789
0.02,15.2623,0.226231
0.03,17.4491,0.378778
0.04,19.335,0.553158
0.05,20,0.746358
0.06,20,0.946169
0.07,20,1.14594
0.08,20,1.34567
0.09,20,1.54536
0.1,20,1.74501
0.11,20,1.94462
0.12,20,2.14419
0.13,20,2.34373
0.14,20,2.54322
0.15,20,2.74267
0.16,20,2.94208
0.17,20,3.14145
0.18,20,3.34078
0.19,20,3.54008
0.2,20,3.73933
0.21,20,3.93854
0.22,20,4.13771
0.23,20,4.33684
0.24,20,4.53594
0.25,20,4.73499
0.26,19.9712,4.934
0.27,19.7642,5.13269
0.28,19.5006,5.32926
0.29,19.1874,5.52316
0.3,18.8312,5.7139
0.31,18.438,5.90103
0.32,18.0132,6.08419
0.33,17.5619,6.26307
0.34,17.0887,6.4374
0.35,16.5979,6.60697
0.36,16.0932,6.77159
0.37,15.5782,6.93114
0.38,15.0561,7.0855
0.39,14.5296,7.23462
0.4,14.0014,7.37844
0.41,13.4738,7.51695
0.42,12.9487,7.65016
0.43,12.4281,7.77809
0.44,11.9136,7.90079
0.45,11.4066,8.01832
0.46,10.9083,8.13076
0.47,10.4198,8.23819
0.48,9.9421,8.34072
0.49,9.47587,8.43846
0.5,9.02181,8.53151
0.51,8.58044,8.62001
0.52,8.15215,8.70407
0.53,7.73737,8.78383
0.54,7.33625,8.85944
0.55,6.94898,8.93101
0.56,6.57565,8.9987
0.57,6.21629,9.06264
0.58,5.87084,9.12298
0.59,5.53924,9.17986
0.6,5.22131,9.2334
0.61,4.91692,9.28376
0.62,4.62587,9.33106
0.63,4.34789,9.37544
0.64,4.08269,9.41704
0.65,3.83001,9.45597
0.66,3.58953,9.49238
0.67,3.36092,9.52637
0.68,3.14383,9.55806
0.69,2.93791,9.58758
0.7,2.74282,9.61504
0.71,2.55821,9.64054
0.72,2.38369,9.66419
0.73,2.21888,9.68609
0.74,2.06344,9.70634
0.75,1.91698,9.72502
0.76,1.77916,9.74225
0.77,1.64958,9.75809
0.78,1.52791,9.77263
0.79,1.41378,9.78595
0.8,1.30691,9.79813
0.81,1.20691,9.80923
0.82,1.11343,9.81934
